Nombre visible Agente,AGENTE (OFEI),"CENTRAL (dDEC, dSEGDES, dPRU…)","Tipo de central (Hidro, Termo, Filo, Menor)",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,suma
EMGESA,EMGESA S.A.,BETANIA,H,BETANIA,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,17108
EMGESA,EMGESA S.A.,BETANIA,H,BETANIA,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,17108
EMGESA,EMGESA S.A.,BETANIA,H,BETANIA,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,17108
EMGESA,EMGESA S.A.,ELQUIMBO,H,ELQUIMBO,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,3995
EMGESA,EMGESA S.A.,ELQUIMBO,H,ELQUIMBO,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,3995
EMGESA,EMGESA S.A.,GUAVIO,H,GUAVIO,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,8650
EMGESA,EMGESA S.A.,GUAVIO,H,GUAVIO,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,8650
EMGESA,EMGESA S.A.,GUAVIO,H,GUAVIO,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,8650
EMGESA,EMGESA S.A.,GUAVIO,H,GUAVIO,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,8650
EMGESA,EMGESA S.A.,GUAVIO,H,GUAVIO,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,8650
EMGESA,EMGESA S.A.,PAGUA,H,PAGUA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,28200
EMGESA,EMGESA S.A.,PAGUA,H,PAGUA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,28200
EMGESA,EMGESA S.A.,PAGUA,H,PAGUA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,28200
EMGESA,EMGESA S.A.,PAGUA,H,PAGUA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,28200
EMGESA,EMGESA S.A.,PAGUA,H,PAGUA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,28200
EMGESA,EMGESA S.A.,PAGUA,H,PAGUA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,28200
